Video ID,Title,Comment
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,So no one is talking about how much stronger this stainless steel body is than every other car on the market. If you hit any other car with the cybertruck you will kill the passengers by just cutting right through their car
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Clearly everyone was afraid to tell Elon how terrible this looks.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,They should've made this truck matte black for the presentation. It looks sick in blk. But my only concern is incase of an emergency u can't kick the windows out??
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"So many dumb ass people are commenting on this video as if their parents own general motor or other american car companies. 1st of you dont have to buy this car, 2nd no one asked your opinion. 3rd of, you cant really afford it 😂."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,At 17:29 you can see how heavy that tailgate is and since the people who are buying this aren't strong construction workers it'll be funny when they cant get it back up
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Fuck yea, tesla for life 🙌🏼🙌🏼🙌🏼❤❤🙌🏼"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,hammer already invented.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"someone lost there job on this one,  forshor"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Thats the ugliest piece of shit ive ever saw.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"WORST rollout of a product I’ve ever seen, ever."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"What a horrible vehicle, is this a joke?"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Thor is watching going hold my mead and watch this
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Not a truck guy. After watching this, now I am."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Amazing.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"8:26 that's that ""someone's fucking fired"" laugh 😂😂"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Take my money
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,The test glass was larger and had room to deform and absorb the impact. In the back ground video you can see all the glass they were testing were the same. Install in the truck it's a much smaller piece of glass and its installed much more rigid. Funny.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,😂 his voice changed after da 🤣
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"The armour glass is cool and all, until you need to break it to get out of it"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Gotta be the ugliest road warrior looking rig ever made...
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,I think this is the most bullshit I saw. That tug is a bad joke and the sheep are cheering to everything.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Everyone: claps Elon: Mmm yeah
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,So it doesn’t have a 8 foot box——so it’s useless for me—-not a real truck
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Lmaoooo
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Gonna take a few years to get those windows replaced.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,I remember riding this in the ps1
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,He should've said that was the f150 glass window
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Looks interesting enough to me. At least someone is willing to try out new things and not just use the same century old stock frame for everything.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,A promotion...for Cyberpunk2077?
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Having the glass windows break in the end probably received more views & attention alone. Great Job!
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,How much?
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,The Rivian from Ford is going to be way better
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Its confirmed ,Musk is totally OVERRATED!!"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Listening to him talk is like putting a toothpick under my toenail and kicking a wall
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Wow!!! Worst public speaker ever!!!
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Awkward 🤣😅😂
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"If you don’t plan to get shot or have a girlfriend that likes to burst windows, that price point is a good buy."
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Aztek truck and the Delorean had a baby. 
I present to you: Tesla Truck"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,The glass was slighty opened and thats why it shattered !!
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"For someone that knows even a little bit about  marketing, knows that this is a strategy and was planned to create a bigger audience, Elon musk is much smarter than what we think"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Elon, we need Cybertruck in Cyberpunk!"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Can you guys shut the fuck up about the windows? Same thing would happen with ANY vehicle. I seriously doubt that’s a deal breaker for you trend following hipsters. Lol.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Forget the 'truck' that looks like a Lambo and F-117 Stealth Fighter got together one night......I want the ATV :)
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Nope! Fugly.
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"I dont know.. this guy talk and act weird

Like the cars"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Does that thing still have crumple zones or are those things just going to shear every other vehicle on the road in half in a collision?
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,I feel like the window cracking was a publicity stunt
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"He needs to stick to the cars and leave the trucks to the professionals,it was sad to watch"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,This whole presentation made me feel super awkward....
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,I love it but he keeps looking at those windows somebody getting fired
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Why does he seem so spaced out? Prolly cause he smoked a single marijuannas with Joe Rogan
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,EPIC FOOKING FAIL!!
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"Oh come on, this is proof he is trolling"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,But can it handle wear and tear with real payloads tho
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,What doesn’t he do wow!!!
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,"The glass is actually just one small detail. He can easily fix that... especially because, as he said, the other attempts to break one of those glasses failed miserably. He's doing good. I liked it a lot!"
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,It's a practical joke on hippies
SwvDOdBHYBw,WATCH LIVE! Elon Musk presents the new Tesla Cybertruck Launch,Are there people who would drive that and don't get embarrassed?! If yes?! THEN WOW!
